ps_id,reference,name,missing_description,missing_ean_count,no_valid_variants,sync_error
"206","11119","Omid Winter Sweatpant","no","0","no","AY push returned error"
"209","11534","Ornamo Sweatpants","yes","2","yes","[reason=missing_required_text] Missing description; [reason=missing_ean] Variant 11534 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"210","","kera","yes","2","yes","[reason=missing_required_text] Missing description; [reason=missing_ean] Variant ps-210-210 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"211","21334","kera1","yes","12","yes","[reason=missing_required_text] Missing description; [reason=missing_ean] Variant 21334-992 is missing EAN; [reason=missing_ean] Variant 21334-993 is missing EAN; [reason=missing_ean] Variant 21334-994 is missing EAN; [reason=missing_ean] Variant 21334-995 is missing EAN; [reason=missing_ean] Variant 21334-996 is missing EAN; [reason=missing_ean] Variant 21334-997 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"212","21334","kera2","yes","2","yes","[reason=missing_required_text] Missing description; [reason=missing_ean] Variant 21334 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"213","","test","yes","2","yes","[reason=missing_required_text] Missing description; [reason=missing_ean] Variant ps-213-213 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"214","11429","Sam Sweatvest","yes","0","no","[reason=missing_required_text] Missing description"
"215","11429","Sam  Joggingbroek","yes","6","yes","[reason=missing_required_text] Missing description; [reason=missing_ean] Variant 11429-1001 is missing EAN; [reason=missing_ean] Variant 11429-1003 is missing EAN; [reason=missing_ean] Variant 11429-1002 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"217","","pet","yes","2","yes","[reason=missing_required_text] Missing description; [reason=missing_ean] Variant ps-217-217 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"220","11606","Shafir T-shirt print","yes","2","yes","[reason=missing_required_text] Missing description; [reason=missing_ean] Variant 11606-1009 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"222","11606","Shafir T-shirt print- Zwart","yes","10","yes","[reason=missing_required_text] Missing description; [reason=missing_ean] Variant 11606-1010 is missing EAN; [reason=missing_ean] Variant 11606-1011 is missing EAN; [reason=missing_ean] Variant 11606-1012 is missing EAN; [reason=missing_ean] Variant 11606-1013 is missing EAN; [reason=missing_ean] Variant 11606-1014 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
